iter	Accuracy	Logloss
247	0.9064430715	0.3034161905
248	0.905560459	0.3023325724
249	0.905560459	0.3018064686
250	0.9064430715	0.3014895384
251	0.9064430715	0.3007098478
252	0.9046778464	0.2998305615
253	0.9037952339	0.2997708361
254	0.907325684	0.2989757287
255	0.9064430715	0.2984153014
256	0.9064430715	0.2980085235
257	0.9064430715	0.2976616596
258	0.9064430715	0.2974159494
259	0.907325684	0.2971796971
260	0.9090909091	0.2968178577
261	0.9117387467	0.2958463037
262	0.9108561342	0.2953557228
263	0.9117387467	0.2951313593
264	0.9117387467	0.294987214
265	0.9126213592	0.2946547152
266	0.9135039718	0.2940846393
267	0.9135039718	0.2932878766
268	0.9126213592	0.2930504889
269	0.9135039718	0.2920951575
270	0.9135039718	0.2915809152
271	0.9126213592	0.2911690742
272	0.9143865843	0.2905223541
273	0.9152691968	0.289895725
274	0.9152691968	0.288446957
275	0.9179170344	0.2875319025
276	0.9170344219	0.2867634589
277	0.9170344219	0.286435447
278	0.9179170344	0.2857561809
279	0.9179170344	0.2854089594
280	0.9170344219	0.284841522
281	0.9170344219	0.2846292531
282	0.918799647	0.2839847611
283	0.9170344219	0.2833179257
284	0.918799647	0.2828837328
285	0.9196822595	0.282064981
286	0.9196822595	0.2814311987
287	0.9196822595	0.2803803971
288	0.9196822595	0.2799414927
289	0.9196822595	0.2798473422
290	0.9196822595	0.2792441021
291	0.920564872	0.2787472596
292	0.920564872	0.2784804301
293	0.920564872	0.2780548686
294	0.9223300971	0.2778261506
295	0.9240953222	0.2768687961
296	0.9249779347	0.2761171153
297	0.9249779347	0.2756793556
298	0.9249779347	0.2755781176
299	0.9223300971	0.2751328565
300	0.9240953222	0.2734485618
301	0.9249779347	0.2731004519
302	0.9249779347	0.2726702587
303	0.9249779347	0.2721057509
304	0.9249779347	0.2715054185
305	0.9267431598	0.270821554
306	0.9285083848	0.2697481505
307	0.9285083848	0.2690604102
308	0.9285083848	0.2686763016
309	0.9285083848	0.2678983254
310	0.9285083848	0.2673432742
311	0.9293909974	0.2667525884
312	0.9293909974	0.2659287876
313	0.932038835	0.2649135391
314	0.93380406	0.264387124
315	0.93380406	0.2637788107
316	0.9346866726	0.2630684087
317	0.9346866726	0.2624115857
318	0.9346866726	0.2616582754
319	0.9346866726	0.2607749264
320	0.93380406	0.2601628235
321	0.93380406	0.2599796918
322	0.9346866726	0.2596717102
323	0.9382171227	0.258923675
324	0.9408649603	0.2576720056
325	0.9399823477	0.2570290543
326	0.9399823477	0.2566789823
327	0.9390997352	0.2562731363
328	0.9399823477	0.2560751083
329	0.9435127979	0.2554030686
330	0.9435127979	0.2552741828
331	0.9435127979	0.2551225942
332	0.9435127979	0.2544664242
333	0.9443954104	0.2540839074
334	0.9435127979	0.253480276
335	0.9452780229	0.252778783
336	0.947043248	0.2519602165
337	0.947043248	0.2514549186
338	0.9443954104	0.2505957843
339	0.9452780229	0.2503777753
340	0.9452780229	0.2503287513
341	0.9461606355	0.2498229884
342	0.947043248	0.2493676592
343	0.947043248	0.2487487577
344	0.947043248	0.2481788418
345	0.9488084731	0.2476006101
346	0.9496910856	0.2472247105
347	0.9496910856	0.2471450694
348	0.9496910856	0.2470605192
349	0.9505736981	0.2466336277
350	0.9496910856	0.2462383404
351	0.9496910856	0.245770104
352	0.9496910856	0.2457132093
353	0.9496910856	0.245320517
354	0.9514563107	0.2443465784
355	0.9514563107	0.2437748422
356	0.9523389232	0.2431692225
357	0.9496910856	0.2427616669
358	0.9496910856	0.2422704095
359	0.9505736981	0.2418956945
360	0.9523389232	0.2409142413
361	0.9514563107	0.2405895685
362	0.9514563107	0.2402618873
363	0.9514563107	0.2398179096
364	0.9514563107	0.2395838456
365	0.9523389232	0.2387513005
366	0.9549867608	0.237738439
367	0.9549867608	0.2371819887
368	0.9549867608	0.2370181465
369	0.9541041483	0.2368666205
370	0.9541041483	0.2366005651
371	0.9549867608	0.2362472072
372	0.9532215357	0.2353652341
373	0.9541041483	0.2352435657
374	0.9541041483	0.2349509128
375	0.9541041483	0.2346850571
376	0.9541041483	0.2344907754
377	0.9558693733	0.2341830999
378	0.9558693733	0.2340580705
379	0.9576345984	0.2331671242
380	0.9585172109	0.2327500698
381	0.9585172109	0.2321305534
382	0.9576345984	0.2320239434
383	0.9585172109	0.231473677
384	0.9593998235	0.230958729
385	0.9593998235	0.2306046179
386	0.9576345984	0.2302431874
387	0.9576345984	0.22971972
388	0.9576345984	0.228841939
389	0.9593998235	0.2283180569
390	0.9593998235	0.2281308496
391	0.9593998235	0.2278019171
392	0.960282436	0.2276085535
393	0.9593998235	0.2273011691
394	0.9585172109	0.2270294648
395	0.960282436	0.2261036313
396	0.960282436	0.2253412915
397	0.960282436	0.2251890002
398	0.9593998235	0.224977552
399	0.9593998235	0.2246729643
400	0.9585172109	0.2244883478
401	0.9593998235	0.2241914224
402	0.9585172109	0.2235187693
403	0.9593998235	0.2229817598
404	0.9593998235	0.2221386263
405	0.9593998235	0.2218883645
406	0.960282436	0.2215943772
407	0.960282436	0.2211441228
408	0.960282436	0.2209493965
409	0.960282436	0.2203198501
410	0.960282436	0.2199450703
411	0.9611650485	0.2192690666
412	0.9620476611	0.2188977072
413	0.9620476611	0.2186870584
414	0.9611650485	0.2180986436
415	0.9638128861	0.2173541632
416	0.9646954987	0.2167087748
417	0.9646954987	0.2160067664
418	0.9646954987	0.2156927308
419	0.9646954987	0.2152772225
420	0.9646954987	0.2150732346
421	0.9655781112	0.2146289337
422	0.9664607237	0.2140768319
423	0.9664607237	0.2136093886
424	0.9664607237	0.2133177413
425	0.9673433363	0.2129222287
426	0.9673433363	0.212910652
427	0.9673433363	0.2127161159
428	0.9673433363	0.2122311577
429	0.9682259488	0.2120214729
430	0.9682259488	0.2117931302
431	0.9691085613	0.2114187293
432	0.9691085613	0.2108960049
433	0.9699911739	0.2106858791
434	0.9699911739	0.2102275689
435	0.9699911739	0.2099603417
436	0.9699911739	0.209717674
437	0.9699911739	0.2094725709
438	0.9699911739	0.2090138188
439	0.9699911739	0.2081942267
440	0.9699911739	0.2080530656
441	0.9699911739	0.2076697561
442	0.9699911739	0.2074044556
443	0.9699911739	0.2069998028
444	0.9708737864	0.2067896158
445	0.9699911739	0.2059229733
446	0.9708737864	0.2049787625
447	0.9708737864	0.2049156745
448	0.9708737864	0.2045895485
449	0.9717563989	0.2041707796
450	0.9717563989	0.2036308682
451	0.9717563989	0.20292467
452	0.9717563989	0.2027471053
453	0.9717563989	0.2026369747
454	0.9717563989	0.2020230574
455	0.9717563989	0.2017706859
456	0.9726390115	0.2012778453
457	0.9726390115	0.2007969354
458	0.9726390115	0.2004645898
459	0.9726390115	0.2001748898
460	0.9726390115	0.1995803138
461	0.9726390115	0.1992355421
462	0.973521624	0.1990115569
463	0.973521624	0.1985327908
464	0.973521624	0.1981131915
465	0.9744042365	0.1977736475
466	0.9744042365	0.1971911245
467	0.9744042365	0.1970086781
468	0.9744042365	0.1966332258
469	0.9744042365	0.1962691974
470	0.9744042365	0.1960167628
471	0.973521624	0.1958045211
472	0.973521624	0.1949204765
473	0.973521624	0.1943364629
474	0.9744042365	0.1939747034
475	0.9744042365	0.1936005212
476	0.9752868491	0.1932741384
477	0.9752868491	0.1931655288
478	0.9761694616	0.1926946076
479	0.9752868491	0.1924550671
480	0.9761694616	0.1919740767
481	0.9752868491	0.1915706836
482	0.9761694616	0.1910917945
483	0.9761694616	0.1908831533
484	0.9761694616	0.1907259684
485	0.9761694616	0.1903619885
486	0.9752868491	0.1899698848
487	0.9752868491	0.1897080651
488	0.9752868491	0.1896652811
489	0.9761694616	0.189303539
490	0.9761694616	0.1884798743
491	0.9761694616	0.188448821
492	0.9752868491	0.1881340979
493	0.9752868491	0.1877014923
494	0.9752868491	0.1872638378
495	0.9761694616	0.1870310055
496	0.9761694616	0.1866119345
497	0.9761694616	0.1864407862
498	0.9761694616	0.1861248537
499	0.9761694616	0.1856435573
500	0.9761694616	0.1852038746
