iter	Passed	Remaining
421	2488	3408
422	2492	3400
423	2497	3392
424	2502	3386
425	2508	3379
426	2517	3377
427	2522	3370
428	2528	3365
429	2538	3365
430	2545	3360
431	2559	3365
432	2569	3364
433	2576	3360
434	2584	3356
435	2593	3354
436	2603	3354
437	2612	3351
438	2623	3352
439	2630	3347
440	2642	3349
441	2649	3344
442	2658	3342
443	2666	3339
444	2675	3336
445	2685	3336
446	2692	3330
447	2699	3326
448	2708	3324
449	2715	3319
450	2723	3315
451	2729	3309
452	2736	3304
453	2741	3297
454	2746	3290
455	2753	3284
456	2759	3278
457	2764	3271
458	2768	3263
459	2773	3255
460	2777	3247
461	2781	3239
462	2787	3233
463	2792	3225
464	2797	3218
465	2802	3211
466	2807	3203
467	2811	3195
468	2816	3188
469	2820	3180
470	2824	3172
471	2829	3165
472	2834	3157
473	2838	3149
474	2842	3141
475	2847	3134
476	2852	3128
477	2857	3120
478	2863	3114
479	2868	3107
480	2873	3100
481	2877	3092
482	2882	3085
483	2887	3078
484	2891	3070
485	2896	3063
486	2900	3055
487	2905	3048
488	2909	3040
489	2914	3033
490	2918	3025
491	2922	3018
492	2927	3010
493	2931	3003
494	2936	2996
495	2941	2989
496	2946	2982
497	2951	2974
498	2956	2968
499	2961	2961
500	2966	2954
501	2970	2947
502	2975	2939
503	2980	2932
504	2984	2925
505	2989	2918
506	2994	2911
507	2998	2904
508	3002	2896
509	3006	2889
510	3011	2881
511	3015	2874
512	3020	2867
513	3024	2860
514	3029	2853
515	3034	2846
516	3039	2839
517	3045	2834
518	3051	2828
519	3057	2822
520	3063	2816
521	3075	2816
522	3084	2812
523	3094	2811
524	3102	2806
525	3114	2806
526	3121	2801
527	3128	2796
528	3140	2796
529	3154	2796
530	3170	2800
531	3200	2815
532	3209	2812
533	3216	2806
534	3223	2801
535	3229	2795
536	3234	2789
537	3240	2782
538	3245	2775
539	3249	2768
540	3253	2760
541	3258	2753
542	3263	2746
543	3267	2738
544	3271	2731
545	3276	2724
546	3283	2719
547	3288	2712
548	3293	2705
549	3297	2698
550	3301	2690
551	3306	2683
552	3311	2676
553	3315	2669
554	3320	2662
555	3325	2655
556	3329	2648
557	3334	2641
558	3338	2633
559	3342	2626
560	3347	2619
561	3352	2612
562	3357	2605
563	3361	2598
564	3366	2592
565	3371	2585
566	3375	2578
567	3380	2571
568	3384	2564
569	3389	2556
570	3393	2549
571	3398	2543
572	3403	2535
573	3407	2528
574	3410	2521
575	3416	2514
576	3421	2508
577	3425	2501
578	3429	2493
579	3434	2487
580	3439	2480
581	3444	2473
582	3449	2467
583	3454	2460
584	3459	2454
585	3463	2447
586	3468	2440
587	3473	2433
588	3477	2426
589	3482	2419
590	3486	2412
591	3491	2406
592	3496	2400
593	3501	2393
594	3506	2386
595	3510	2379
596	3514	2372
597	3519	2365
598	3523	2358
599	3528	2352
600	3532	2345
601	3539	2339
602	3543	2333
603	3548	2326
604	3554	2320
605	3558	2313
606	3563	2307
607	3567	2300
608	3571	2293
609	3575	2286
610	3580	2279
611	3587	2274
612	3592	2267
613	3598	2262
